Address,City,Price,Beds,Baths,SqFt,Lot Size,Year Built,Sold Date,Listing Status,URL
1340 Loring St,San Diego,2020000,3,2.0,1427,6600,1958,1749193200000,Sold,https://www.redfin.com/CA/San-Diego/1340-Loring-St-92109/home/5136020
4750 Noyes St #123,San Diego,525000,1,1.0,620,42581,1977,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/4750-Noyes-St-92109/unit-123/home/5141541
4876 Pacifica Dr,San Diego,2000000,3,2.0,1792,N/A,1961,1748415600000,Sold,https://www.redfin.com/CA/San-Diego/4876-Pacifica-Dr-92109/home/5146322
4859 Bella Pacific Row #228,San Diego,750000,2,2.0,1110,80527,1987,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/4859-Bella-Pacific-Row-92109/unit-228/home/5148014
5001 Mt. Ararat Sr.,San Diego,965000,3,2.0,1645,N/A,1973,1750402800000,Sold,https://www.redfin.com/CA/San-Diego/5001-Mount-Ararat-Dr-92111/home/5153203
5695 Caminito Katerina,San Diego,715000,2,1.5,1000,N/A,1973,1743750000000,Sold,https://www.redfin.com/CA/San-Diego/5695-Caminito-Katerina-92111/home/5157624
3721 Mount Ashmun Pl,San Diego,1200000,4,2.0,1596,N/A,1976,1749538800000,Sold,https://www.redfin.com/CA/San-Diego/3721-Mount-Ashmun-Pl-92111/home/5161674
7142 Frakes St,San Diego,894400,3,2.0,1232,5500,1960,1745305200000,Sold,https://www.redfin.com/CA/San-Diego/7142-Frakes-St-92111/home/5166043
3460 Beagle Ct,San Diego,1185000,4,2.0,1308,9500,1959,1749798000000,Sold,https://www.redfin.com/CA/San-Diego/3460-Beagle-Ct-92111/home/5167501
4535 La Cuenta Dr,San Diego,1676000,4,2.0,2174,9300,1978,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/4535-La-Cuenta-Dr-92124/home/5172399
3826 Bayside Walk,San Diego,3000000,2,2.5,1357,1657,2017,1745478000000,Sold,https://www.redfin.com/CA/San-Diego/3826-Bayside-Walk-92109/home/5182562
2990 Mission Blvd #203,San Diego,687500,1,1.0,540,N/A,1975,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/2990-Mission-Blvd-92109/unit-203/home/5185752
2930 Cowley Way #101,San Diego,735000,2,2.0,1364,N/A,1982,1749538800000,Sold,https://www.redfin.com/CA/San-Diego/2930-Cowley-Way-92117/unit-101/home/5204312
4455 Gesner St,San Diego,1715000,3,2.5,1991,2871,1982,1745305200000,Sold,https://www.redfin.com/CA/San-Diego/4455-Gesner-St-92117/home/5204698
3150 W Fox Run Way,San Diego,1070000,3,2.5,1630,2736,1983,1743750000000,Closed Sale,https://www.redfin.com/CA/San-Diego/3150-W-Fox-Run-Way-92111/home/5206708
3271 Atlas St,San Diego,810000,3,2.0,1112,5500,1958,1749020400000,Sold,https://www.redfin.com/CA/San-Diego/3271-Atlas-St-92111/home/5207337
8751 Chantilly Ave,San Diego,902000,6,2.0,1762,6700,1960,1746687600000,Sold,https://www.redfin.com/CA/San-Diego/8751-Chantilly-Ave-92123/home/5211098
9209 Village Glen Dr #241,San Diego,570000,2,1.0,912,138464,1980,1744786800000,Sold,https://www.redfin.com/CA/San-Diego/9209-Village-Glen-Dr-92123/unit-241/home/5211550
9230 Irvington Ave,San Diego,1220000,4,3.0,1605,N/A,1959,1749452400000,Sold,https://www.redfin.com/CA/San-Diego/9230-Irvington-Ave-92123/home/5213231
9295 Rebecca Ave,San Diego,1099000,3,2.0,1536,6500,1959,1742972400000,Sold,https://www.redfin.com/CA/San-Diego/9295-Rebecca-Ave-92123/home/5214079
9367 Angwin Pl,San Diego,1022405,4,2.0,1924,6000,1960,1744268400000,Sold,https://www.redfin.com/CA/San-Diego/9367-Angwin-Pl-92123/home/5215153
2212 Denver St,San Diego,925000,2,1.0,605,N/A,1941,1744354800000,Sold,https://www.redfin.com/CA/San-Diego/2212-Denver-St-92110/home/5216863
2660 Deerpark Dr,San Diego,1540000,3,2.0,1431,7600,1952,1744354800000,Closed Sale,https://www.redfin.com/CA/San-Diego/2660-Deerpark-Dr-92110/home/5220101
1933 Drescher St,San Diego,849000,2,1.0,750,5800,1942,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/1933-Drescher-St-92111/home/5222101
6335 Caminito Del Pastel,San Diego,755000,2,1.5,1175,N/A,1986,1745391600000,Sold,https://www.redfin.com/CA/San-Diego/6335-Caminito-del-Pastel-92111/home/5224725
2032 Crandall Dr,San Diego,750000,3,2.0,1075,11900,1960,1748502000000,Sold,https://www.redfin.com/CA/San-Diego/2032-Crandall-Dr-92111/home/5225992
5605 Friars Rd #312,San Diego,407000,1,1.0,695,300802,1981,1747983600000,Sold,https://www.redfin.com/CA/San-Diego/5605-Friars-Rd-92110/unit-312/home/5240927
8059 Caminito De Pizza Unit F,San Diego,200000,1,1.0,726,458715,1975,1743145200000,Closed Sale,https://www.redfin.com/CA/San-Diego/8059-Caminito-de-Pizza-92108/unit-F/home/5257380
2220 Camino De La Reina #110,San Diego,655000,2,2.0,1025,N/A,1992,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/2220-Camino-de-la-Reina-92108/unit-110/home/5260299
5052 35th St,San Diego,1490000,4,3.0,1644,6065,1950,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/5052-35th-St-92116/home/5265793
5027 Mountain View Dr,San Diego,1232000,4,2.0,1763,8349,1936,1746082800000,Closed Sale,https://www.redfin.com/CA/San-Diego/5027-E-Mountain-View-Dr-92116/home/5266168
5218 Marlborough Dr,San Diego,1674000,2,2.0,1656,8397,1930,1749193200000,Sold,https://www.redfin.com/CA/San-Diego/5218-Marlborough-Dr-92116/home/5266775
4052 Alder Dr,San Diego,1660000,3,2.0,1399,3228,1926,1744873200000,Sold,https://www.redfin.com/CA/San-Diego/4052-Alder-Dr-92116/home/5270377
4679 Wilson Ave,San Diego,849000,2,1.0,719,1800,1922,1745564400000,Sold,https://www.redfin.com/CA/San-Diego/4679-Wilson-Ave-92116/home/5271126
3098 Rue Dorleans #326,San Diego,735000,2,2.0,1250,106896,1980,1747292400000,Closed Sale,https://www.redfin.com/CA/San-Diego/3098-Rue-Dorleans-92110/unit-326/home/5272848
3050 Rue Dorleans #305,San Diego,600000,2,1.0,862,357719,1969,1747292400000,Sold,https://www.redfin.com/CA/San-Diego/3050-Rue-Dorleans-92110/unit-305/home/5273401
1621 Hotel Cir S Unit E128,San Diego,425000,1,1.0,700,206887,1972,1744873200000,Sold,https://www.redfin.com/CA/San-Diego/1621-Hotel-Cir-S-92108/unit-E128/home/5278709
2219 La Callecita,San Diego,1552500,2,1.5,1643,7100,1930,1747206000000,Sold,https://www.redfin.com/CA/San-Diego/2219-La-Callecita-92103/home/5281409
3995 Hortensia St Unit G6,San Diego,650000,2,2.0,780,10735,1987,1748329200000,Sold,https://www.redfin.com/CA/San-Diego/3995-Hortensia-St-92110/unit-G6/home/5283248
3985 Normal #1,San Diego,775000,2,2.0,1025,N/A,1992,1747897200000,Sold,https://www.redfin.com/CA/San-Diego/3985-Normal-St-92103/unit-1/home/5306064
4403 Idaho,San Diego,790000,2,1.0,780,4500,1928,1743577200000,Sold,https://www.redfin.com/CA/San-Diego/4403-Idaho-St-92116/home/5308999
3837 37th St,San Diego,1285000,4,3.0,N/A,N/A,1930,1742799600000,Sold,https://www.redfin.com/CA/San-Diego/3837-37th-St-92105/home/5321680
3512 Dwight St,San Diego,560000,1,1.0,504,3021,1946,1745910000000,Sold,https://www.redfin.com/CA/San-Diego/3512-Dwight-St-92104/home/5326026
3636 Wawona Dr,San Diego,1565000,3,2.0,1441,5200,1958,1746428400000,Sold,https://www.redfin.com/CA/San-Diego/3636-Wawona-Dr-92106/home/5345752
3111 Shadowlawn St,San Diego,1663000,3,2.0,1664,N/A,1930,1749798000000,Sold,https://www.redfin.com/CA/San-Diego/3111-Shadowlawn-St-92110/home/5357766
3709 7Th Ave Unit 3,San Diego,815000,2,2.0,812,7001,1984,1747378800000,Sold,https://www.redfin.com/CA/San-Diego/3709-7th-Ave-92103/unit-3/home/5368262
3816 Richmond St,San Diego,990000,2,1.5,990,2627,1940,1747724400000,Sold,https://www.redfin.com/CA/San-Diego/3816-Richmond-St-92103/home/5368683
3675 7th Ave Unit B,San Diego,749999,2,2.0,1450,N/A,1980,1745996400000,Sold,https://www.redfin.com/CA/San-Diego/3675-7th-Ave-92103/unit-B/home/5372218
3625 Herbert St,San Diego,1075000,2,1.0,902,N/A,N/A,1750057200000,Sold,https://www.redfin.com/CA/San-Diego/3625-Herbert-St-92103/home/5373011
3796 Alabama St #125,San Diego,310000,1,1.0,378,N/A,1981,1744700400000,Closed Sale,https://www.redfin.com/CA/San-Diego/3796-Alabama-St-92104/unit-125/home/5379760
3446 28th St,San Diego,2815000,5,3.0,2428,N/A,1916,1749711600000,Sold,https://www.redfin.com/CA/San-Diego/3446-28th-St-92104/home/5386461
6549 Bell Bluff Ave,San Diego,528900,2,1.0,806,N/A,1972,1744786800000,Sold,https://www.redfin.com/CA/San-Diego/6549-Bell-Bluff-Ave-92119/home/5409250
6648 HEMINGWAY Dr,San Diego,1325000,3,2.0,1474,17700,1972,1742972400000,Sold,https://www.redfin.com/CA/San-Diego/6648-Hemingway-Dr-92120/home/5412232
3682 Mission Mesa Way,San Diego,900000,3,2.5,1618,N/A,1984,1744786800000,Sold,https://www.redfin.com/CA/San-Diego/3682-Mission-Mesa-Way-92120/home/5416214
8609 Lake Murray Blvd #11,San Diego,445000,2,2.0,973,N/A,1975,1745564400000,Sold,https://www.redfin.com/CA/San-Diego/8609-Lake-Murray-Blvd-92119/unit-11/home/5422688
6780 Mission Gorge Rd #23,San Diego,710000,2,2.0,1471,100686,1980,1746774000000,Sold,https://www.redfin.com/CA/San-Diego/6780-Mission-Gorge-Rd-92120/unit-23/home/5426950
4935 Glacier Ave,San Diego,903000,3,1.0,1096,7700,1955,1744786800000,Closed Sale,https://www.redfin.com/CA/San-Diego/4935-Glacier-Ave-92120/home/5433037
5161 Dorman,San Diego,1135000,3,2.0,1782,15900,1959,1743750000000,Sold,https://www.redfin.com/CA/San-Diego/5161-Dorman-Dr-92115/home/5434279
5874 Madra Ave,San Diego,1386000,4,3.5,3395,28200,1991,1744959600000,Sold,https://www.redfin.com/CA/San-Diego/5874-Madra-Ave-92120/home/5443133
6425 Crystalaire Dr,San Diego,2135000,5,3.0,3066,14000,1970,1747206000000,Sold,https://www.redfin.com/CA/San-Diego/6425-Crystalaire-Dr-92120/home/5443820
4847 Hart Dr,San Diego,1550000,3,2.0,1798,5939,1939,1749106800000,Sold,https://www.redfin.com/CA/San-Diego/4847-Hart-Dr-92116/home/5455717
